id,pair
1,686
2,540
3,971
4,910
5,616
6,666
7,974
8,868
9,594
10,975
11,885
12,606
13,789
14,617
15,693
16,923
17,990
18,572
19,653
20,991
21,717
22,546
23,757
24,852
25,539
26,886
27,675
28,898
29,614
30,661
31,528
32,827
33,529
34,791
35,748
36,966
37,935
38,556
39,770
40,792
41,645
42,824
43,848
44,846
45,593
46,888
47,946
48,771
49,613
50,787
51,591
52,937
53,749
54,672
55,941
56,728
57,740
58,590
59,505
60,952
61,567
62,711
63,850
64,568
65,625
66,930
67,727
68,860
69,911
70,988
71,735
72,784
73,673
74,958
75,524
76,574
77,651
78,646
79,559
80,955
81,839
82,547
83,841
84,801
85,670
86,766
87,869
88,657
89,631
90,575
91,963
92,698
93,724
94,794
95,979
96,585
97,775
98,644
99,507
100,583
101,786
102,530
103,797
104,828
105,917
106,842
107,871
108,684
109,924
110,977
111,584
112,1000
113,707
114,754
115,588
116,542
117,726
118,762
119,831
120,733
121,592
122,820
123,520
124,891
125,732
126,816
127,695
128,506
129,967
130,579
131,926
132,747
133,642
134,743
135,504
136,833
137,900
138,782
139,627
140,580
141,809
142,509
143,851
144,587
145,550
146,604
147,933
148,942
149,962
150,665
151,700
152,870
153,578
154,760
155,633
156,788
157,959
158,548
159,855
160,564
161,759
162,659
163,927
164,894
165,744
166,836
167,715
168,821
169,776
170,554
171,676
172,908
173,603
174,609
175,920
176,501
177,969
178,544
179,730
180,629
181,834
182,558
183,887
184,904
185,719
186,566
187,619
188,648
189,538
190,862
191,843
192,893
193,973
194,949
195,921
196,968
197,996
198,515
199,826
200,981
201,985
202,694
203,861
204,601
205,516
206,537
207,780
208,671
209,864
210,912
211,545
212,688
213,936
214,663
215,805
216,874
217,822
218,638
219,622
220,569
221,623
222,951
223,783
224,543
225,989
226,522
227,859
228,796
229,755
230,615
231,750
232,723
233,523
234,599
235,928
236,652
237,892
238,987
239,739
240,637
241,761
242,677
243,643
244,804
245,954
246,668
247,565
248,838
249,624
250,687
251,678
252,756
253,626
254,746
255,845
256,983
257,681
258,778
259,867
260,685
261,995
262,799
263,832
264,752
265,634
266,563
267,560
268,947
269,976
270,970
271,875
272,984
273,555
274,612
275,863
276,873
277,765
278,876
279,931
280,899
281,586
282,916
283,772
284,513
285,639
286,906
287,823
288,608
289,812
290,576
291,716
292,690
293,818
294,837
295,877
296,938
297,535
298,630
299,514
300,534
301,903
302,551
303,769
304,602
305,830
306,883
307,718
308,982
309,562
310,557
311,814
312,795
313,600
314,879
315,896
316,819
317,777
318,767
319,641
320,993
321,779
322,737
323,731
324,573
325,972
326,909
327,536
328,978
329,847
330,956
331,751
332,701
333,736
334,853
335,713
336,905
337,512
338,517
339,811
340,553
341,802
342,865
343,817
344,742
345,705
346,720
347,589
348,980
349,773
350,655
351,549
352,697
353,880
354,658
355,703
356,944
357,857
358,654
359,790
360,664
361,813
362,692
363,518
364,710
365,620
366,835
367,948
368,856
369,825
370,768
371,552
372,940
373,884
374,854
375,729
376,785
377,611
378,519
379,745
380,647
381,810
382,582
383,721
384,901
385,525
386,907
387,929
388,521
389,939
390,994
391,725
392,934
393,919
394,815
395,922
396,808
397,503
398,781
399,704
400,915
401,628
402,890
403,914
404,708
405,618
406,526
407,953
408,807
409,632
410,763
411,699
412,702
413,510
414,878
415,533
416,806
417,502
418,800
419,597
420,986
421,577
422,918
423,943
424,527
425,997
426,532
427,682
428,858
429,656
430,889
431,957
432,734
433,635
434,774
435,961
436,998
437,621
438,902
439,844
440,964
441,872
442,960
443,753
444,992
445,793
446,950
447,882
448,999
449,714
450,689
451,913
452,798
453,738
454,897
455,596
456,581
457,605
458,849
459,680
460,660
461,691
462,598
463,650
464,570
465,662
466,610
467,571
468,840
469,895
470,741
471,649
472,965
473,508
474,706
475,667
476,722
477,712
478,636
479,607
480,511
481,541
482,932
483,945
484,674
485,803
486,881
487,595
488,683
489,758
490,764
491,669
492,709
493,829
494,866
495,531
496,696
497,561
498,925
499,679
500,640
